City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,katangli,51.7102,143.2326,254.37,94,97,1.15,RU,1670050987
312,laguna,38.421,-121.4238,279.44,89,75,0.0,US,1670050987
313,sabang,5.8933,95.3214,300.56,71,86,3.47,ID,1670050988
314,buraydah,26.326,43.975,295.84,26,8,1.29,SA,1670050988
315,stephenville,32.2207,-98.2023,289.57,93,40,1.79,US,1670050988
316,darhan,49.4867,105.9228,255.83,73,27,2.42,MN,1670050988
317,qandala,11.472,49.8728,299.56,60,0,3.38,SO,1670050989
318,panguna,-6.3164,155.4848,294.83,94,100,0.45,PG,1670050989
319,salalah,17.0151,54.0924,302.25,29,0,1.84,OM,1670050858
320,honiara,-9.4333,159.95,298.17,91,100,1.45,SB,1670050977
321,srednekolymsk,67.45,153.6833,234.96,100,38,2.12,RU,1670050989
322,burnie,-41.0667,145.9167,292.01,69,12,2.43,AU,1670050990
323,ponferrada,42.5466,-6.5962,274.82,85,0,0.27,ES,1670050855
324,banjar,-8.19,114.9675,301.77,79,100,0.62,ID,1670050990
325,leningradskiy,69.3833,178.4167,257.24,76,0,3.56,RU,1670050991
326,port lincoln,-34.7333,135.8667,299.66,43,0,2.43,AU,1670050991
327,starkville,33.4504,-88.8184,289.14,98,100,4.16,US,1670050991
328,mtama,-10.3,39.3667,305.47,39,10,3.26,TZ,1670050991
329,venustiano carranza,19.43,-99.0992,288.23,72,7,1.79,MX,1670050974
330,andenes,69.3143,16.1194,273.67,80,0,4.63,NO,1670050992
331,galle,6.0367,80.217,301.67,69,98,3.03,LK,1670050992
332,zvishavane,-20.3267,30.0665,302.77,24,3,3.19,ZW,1670050963
333,sarh,9.1429,18.3923,301.91,27,100,2.39,TD,1670050992
334,hatillo,18.4863,-66.8254,297.07,92,4,0.45,PR,1670050993
335,katsuura,35.1333,140.3,285.79,80,100,3.23,JP,1670050993
336,muzaffargarh,30.0754,71.1921,293.16,15,0,2.77,PK,1670050993
337,sur,22.5667,59.5289,299.53,58,0,2.19,OM,1670050994
338,severo-kurilsk,50.6789,156.125,269.26,73,93,10.14,RU,1670050995
339,hay river,60.8156,-115.7999,256.17,96,100,1.98,CA,1670050995
340,broken hill,-31.95,141.4333,304.77,17,11,4.14,AU,1670050995
341,sidareja,-7.4846,108.7923,301.87,70,89,3.28,ID,1670050995
342,yola,9.2,12.4833,300.06,24,54,1.02,NG,1670050996
343,lorengau,-2.0226,147.2712,301.29,74,100,2.37,PG,1670050996
344,merrill,45.1805,-89.6835,272.12,80,100,7.2,US,1670050996
345,aubenas,44.6201,4.3899,277.69,96,100,1.5,FR,1670050811
346,bethel,41.3712,-73.414,280.2,81,100,3.2,US,1670050997
347,bageshwar,29.85,79.7667,294.77,30,27,1.46,IN,1670050997
348,raudeberg,61.9875,5.1352,276.52,66,69,4.07,NO,1670050997
349,vilyuysk,63.7553,121.6247,248.65,99,100,1.05,RU,1670050997
350,presidencia roque saenz pena,-26.7852,-60.4388,291.2,51,0,1.38,AR,1670050997
351,smolenka,52.1352,113.4974,259.19,43,48,6.0,RU,1670050998
352,alegrete,-29.7831,-55.7919,294.14,91,100,2.21,BR,1670050998
353,damietta,31.4165,31.8133,293.75,62,9,6.23,EG,1670050867
354,kanye,-24.9667,25.3327,300.74,29,70,5.27,BW,1670050998
355,andijon,40.7821,72.3442,277.03,70,100,1.03,UZ,1670050999
356,sao jose da coroa grande,-8.8978,-35.1478,297.22,87,9,4.09,BR,1670050999
357,north bend,43.4065,-124.2243,282.08,97,100,0.45,US,1670050999
358,gat,31.61,34.7642,294.48,100,97,0.6,IL,1670051000
359,kapoeta,4.7717,33.5903,304.32,33,75,11.09,SS,1670051000
360,beruwala,6.4788,79.9828,301.41,71,99,2.68,LK,1670051000
361,inhambane,-23.865,35.3833,302.58,54,0,4.06,MZ,1670051000
362,talnakh,69.4865,88.3972,253.03,98,98,2.93,RU,1670051001
363,tulagi,-9.0996,160.1476,299.4,79,100,2.49,SB,1670051001
364,xiongzhou,25.1167,114.3,288.5,76,71,1.92,CN,1670051001
